AGB,Sigma0HH,Sigma0HV,Sigma0VV,gamma,theta
257.5,0.11202091975197934,0.0832131755993,0.15106581863529273,0.4126495058830188,-0.08173500968173322
337.5,0.12190316588020188,0.1110737994268909,0.19323129492693522,0.46006303788204733,-0.11582744041335628
402.7,0.12709914301082423,0.14169594299704338,0.21753286445785355,0.5635093127473123,-0.05060618976641637
304.3,0.23380279245534372,0.12761728917716522,0.256122103263608,0.5468863297671471,-0.1000769597239876
300.5,0.16085306333595797,0.11349646589833667,0.23529340057209538,0.39711790984700546,0.47827067397384154
405.3,0.15149347486041156,0.1605381283837037,0.2211073181060263,0.6167130559206256,-0.4536410161888777
417.8,0.2116647232846399,0.20380938184237146,0.3663762797356954,0.6785687959877605,-0.25343934739988233
307.5,0.1779775607813525,0.13624227555689788,0.18469876365159985,0.6293909358522356,0.40337032404471757
392.4,0.1435882937693606,0.13609713811414675,0.25437495128323095,0.6081997130832337,0.23580190222456632
346.4,0.09681530797002005,0.11281460125555214,0.14075332715698244,0.5210940963677962,0.2297401875666235
406.1,0.13543478097459474,0.12208427192064848,0.16395560130365458,0.5103051707368831,-0.15825108662462453
431.9,0.2306027268253532,0.2260282264478644,0.3451675149353087,0.36953900564615066,-0.5335118819600033
309.0,0.10486123012332278,0.10662930925220908,0.12986109310227345,0.35322953961817855,-0.2346590119633443
284.7,0.1065725213699085,0.11541165294005495,0.16178845655118265,0.31214158073271187,-0.3421342582841392
369.6,0.11681880907286188,0.10280429726614386,0.1801030977290616,0.6452203027364443,-0.3348693166079263
407.7,0.12857101770727997,0.15925299745188806,0.20897761973967877,0.49839297917162784,-0.13057451468446268
